Date;IT Department;Cost Element;Country;Actual
01/02/2020;Administration;Employee Performance;USA;27
01/02/2020;Administration;External Labor;United Kingdom;3.535
01/02/2020;Administration;External Labor;USA;1.205
01/02/2020;Administration;Hardware Maintenance;USA;-5.345
01/02/2020;Administration;Internal Labor;Germany;-146.561
01/02/2020;Administration;Internal Labor;Italy;9.437
01/02/2020;Administration;Internal Labor;United Kingdom;23.189
01/02/2020;Administration;Internal Labor;USA;103.135
01/02/2020;Administration;Legal;USA;22.458
01/02/2020;Administration;Moving;USA;744
01/02/2020;Administration;Other;Germany;35
01/02/2020;Administration;Other;United Kingdom;6
01/02/2020;Administration;Other;USA;-5.109
01/02/2020;Administration;Outbound Allocations;United Kingdom;708
01/02/2020;Administration;Severance;Italy;312
01/02/2020;Administration;Supplies;USA;30
01/02/2020;Administration;Telecomm;Italy;2
01/02/2020;Administration;Telecomm;United Kingdom;85
01/02/2020;Administration;Telecomm;USA;5.219
01/02/2020;Administration;Training;Germany;767
01/02/2020;Administration;Travel;USA;19.226
01/02/2020;Administration;Vehicles;United Kingdom;32
01/02/2020;Architecture;Depreciation;USA;693
01/02/2020;Architecture;Employee Performance;USA;218
01/02/2020;Architecture;Internal Labor;USA;43.028
01/02/2020;Architecture;Other;USA;9.379
01/02/2020;Architecture;Supplies;USA;2
01/02/2020;Architecture;Taxes;USA;39
01/02/2020;Architecture;Telecomm;USA;263
01/02/2020;Architecture;Travel;USA;109
01/02/2020;Business Intelligence;Employee Performance;USA;22
01/02/2020;Business Intelligence;External Labor;USA;16.966
01/02/2020;Business Intelligence;Internal Labor;USA;63.595
01/02/2020;Business Intelligence;Other;USA;454
01/02/2020;Business Intelligence;Supplies;USA;18
01/02/2020;Business Intelligence;Telecomm;USA;272
01/02/2020;Business Intelligence;Training;USA;567
01/02/2020;Business Intelligence;Travel;USA;2
01/02/2020;Core;Employee Performance;USA;60
01/02/2020;Core;External Labor;USA;5.168
01/02/2020;Core;Internal Labor;USA;21.254
01/02/2020;Core;Telecomm;United Kingdom;166
01/02/2020;Core;Telecomm;USA;1.017
01/02/2020;Core;Training;USA;326
01/02/2020;Core;Travel;USA;479
01/02/2020;Core Infrastructure;Amortization;Mexico;1.009
01/02/2020;Core Infrastructure;Depreciation;Brazil;12.901
01/02/2020;Core Infrastructure;Depreciation;Canada;7.173
01/02/2020;Core Infrastructure;Depreciation;Mexico;2.529
01/02/2020;Core Infrastructure;Depreciation;New Zealand;5.847
01/02/2020;Core Infrastructure;External Labor;Brazil;17.786
01/02/2020;Core Infrastructure;External Labor;Canada;-7.711
01/02/2020;Core Infrastructure;External Labor;Mexico;38.717
01/02/2020;Core Infrastructure;External Labor;New Zealand;9.183
01/02/2020;Core Infrastructure;External Labor;USA;62.930
01/02/2020;Core Infrastructure;Hardware;Brazil;1.184
01/02/2020;Core Infrastructure;Hardware;Mexico;32.132
01/02/2020;Core Infrastructure;Hardware;New Zealand;36.766
01/02/2020;Core Infrastructure;Hardware Maintenance;Brazil;9.126
01/02/2020;Core Infrastructure;Hardware Maintenance;Canada;34.463
01/02/2020;Core Infrastructure;Hardware Maintenance;Mexico;680
01/02/2020;Core Infrastructure;Internal Labor;Brazil;15.591
01/02/2020;Core Infrastructure;Internal Labor;Mexico;2.123
01/02/2020;Core Infrastructure;Internal Labor;New Zealand;36.504
01/02/2020;Core Infrastructure;Internal Labor;Switzerland;2.624
01/02/2020;Core Infrastructure;Internal Labor;USA;58.261
01/02/2020;Core Infrastructure;Moving;USA;8.720
01/02/2020;Core Infrastructure;Other;Brazil;10.700
01/02/2020;Core Infrastructure;Other;Mexico;5.115
01/02/2020;Core Infrastructure;Other;New Zealand;119
01/02/2020;Core Infrastructure;Other;USA;330
