Date;IT Department;Cost Element;Country;Actual
01/07/2020;Administration;Employee Performance;USA;651
01/07/2020;Administration;External Labor;United Kingdom;2.099
01/07/2020;Administration;External Labor;USA;61.941
01/07/2020;Administration;Hardware;USA;443
01/07/2020;Administration;Internal Labor;Germany;2.461
01/07/2020;Administration;Internal Labor;Italy;4.608
01/07/2020;Administration;Internal Labor;United Kingdom;22.221
01/07/2020;Administration;Internal Labor;USA;91.581
01/07/2020;Administration;Legal;USA;46
01/07/2020;Administration;Moving;USA;9.554
01/07/2020;Administration;Other;USA;-1.460
01/07/2020;Administration;Outbound Allocations;United Kingdom;714
01/07/2020;Administration;Severance;Italy;265
01/07/2020;Administration;Software;USA;18
01/07/2020;Administration;Software Maintenance;USA;15
01/07/2020;Administration;Supplies;USA;130
01/07/2020;Administration;Telecomm;Italy;74
01/07/2020;Administration;Telecomm;USA;883
01/07/2020;Administration;Training;USA;218
01/07/2020;Administration;Travel;USA;10.725
01/07/2020;Architecture;Depreciation;USA;693
01/07/2020;Architecture;Employee Performance;USA;4
01/07/2020;Architecture;Hardware;USA;854
01/07/2020;Architecture;Internal Labor;USA;40.477
01/07/2020;Architecture;Moving;USA;88
01/07/2020;Architecture;Other;USA;-1.627
01/07/2020;Architecture;Software;USA;36
01/07/2020;Architecture;Software Maintenance;USA;30
01/07/2020;Architecture;Supplies;USA;7
01/07/2020;Architecture;Taxes;USA;44
01/07/2020;Architecture;Telecomm;USA;437
01/07/2020;Architecture;Training;USA;65
01/07/2020;Architecture;Travel;USA;587
01/07/2020;Business Intelligence;CAPEX;USA;15
01/07/2020;Business Intelligence;Employee Performance;USA;144
01/07/2020;Business Intelligence;External Labor;USA;12.807
01/07/2020;Business Intelligence;Internal Labor;USA;63.880
01/07/2020;Business Intelligence;Moving;USA;1.330
01/07/2020;Business Intelligence;Other;USA;61
01/07/2020;Business Intelligence;Software;USA;250
01/07/2020;Business Intelligence;Software Maintenance;USA;207
01/07/2020;Business Intelligence;Supplies;USA;6
01/07/2020;Business Intelligence;Telecomm;USA;311
01/07/2020;Business Intelligence;Training;USA;150
01/07/2020;Business Intelligence;Travel;USA;459
01/07/2020;Core;External Labor;USA;32.987
01/07/2020;Core;Internal Labor;USA;20.089
01/07/2020;Core;Other;USA;540
01/07/2020;Core;Telecomm;USA;652
01/07/2020;Core;Training;USA;44
01/07/2020;Core;Travel;USA;5.789
01/07/2020;Core Infrastructure;Amortization;Mexico;1.366
01/07/2020;Core Infrastructure;Depreciation;Brazil;13.054
01/07/2020;Core Infrastructure;Depreciation;Canada;4.935
01/07/2020;Core Infrastructure;Depreciation;Mexico;3.686
01/07/2020;Core Infrastructure;Depreciation;New Zealand;9.511
01/07/2020;Core Infrastructure;Depreciation;USA;378
01/07/2020;Core Infrastructure;Employee Performance;USA;49
01/07/2020;Core Infrastructure;External Labor;Brazil;24.280
01/07/2020;Core Infrastructure;External Labor;Canada;19.948
01/07/2020;Core Infrastructure;External Labor;Mexico;27.235
01/07/2020;Core Infrastructure;External Labor;New Zealand;3.258
01/07/2020;Core Infrastructure;External Labor;USA;240.083
01/07/2020;Core Infrastructure;Hardware;Brazil;1.263
01/07/2020;Core Infrastructure;Hardware;Canada;694
01/07/2020;Core Infrastructure;Hardware;Mexico;18.443
01/07/2020;Core Infrastructure;Hardware;New Zealand;28.941
01/07/2020;Core Infrastructure;Hardware;USA;360
01/07/2020;Core Infrastructure;Hardware Maintenance;Brazil;8.434
01/07/2020;Core Infrastructure;Hardware Maintenance;Mexico;22.460
01/07/2020;Core Infrastructure;Hardware Maintenance;New Zealand;1.285
01/07/2020;Core Infrastructure;Inbound Allocations;New Zealand;9.167
