Date;IT Department;Cost Element;Country;Actual
01/01/2020;Administration;External Labor;United Kingdom;1.754
01/01/2020;Administration;External Labor;USA;24.376
01/01/2020;Administration;Hardware Maintenance;USA;5.345
01/01/2020;Administration;Inbound Allocations;United Kingdom;318
01/01/2020;Administration;Internal Labor;Italy;5.599
01/01/2020;Administration;Internal Labor;United Kingdom;21.365
01/01/2020;Administration;Internal Labor;USA;90.994
01/01/2020;Administration;Legal;USA;7.258
01/01/2020;Administration;Moving;USA;404
01/01/2020;Administration;Other;Italy;12
01/01/2020;Administration;Other;United Kingdom;18
01/01/2020;Administration;Other;USA;-3.239
01/01/2020;Administration;Outbound Allocations;United Kingdom;685
01/01/2020;Administration;Severance;Italy;388
01/01/2020;Administration;Software;USA;5
01/01/2020;Administration;Supplies;USA;17
01/01/2020;Administration;Telecomm;Italy;2
01/01/2020;Administration;Telecomm;United Kingdom;103
01/01/2020;Administration;Travel;USA;6.934
01/01/2020;Administration;Vehicles;United Kingdom;62
01/01/2020;Architecture;Depreciation;USA;693
01/01/2020;Architecture;Internal Labor;USA;41.537
01/01/2020;Architecture;Supplies;USA;26
01/01/2020;Architecture;Taxes;USA;48
01/01/2020;Architecture;Training;USA;14
01/01/2020;Architecture;Travel;USA;54
01/01/2020;Business Intelligence;Employee Performance;USA;2
01/01/2020;Business Intelligence;External Labor;USA;3.636
01/01/2020;Business Intelligence;Internal Labor;USA;64.388
01/01/2020;Business Intelligence;Supplies;USA;19
01/01/2020;Core;External Labor;USA;1.723
01/01/2020;Core;Internal Labor;USA;20.476
01/01/2020;Core;Training;USA;399
01/01/2020;Core;Travel;USA;108
01/01/2020;Core Infrastructure;Amortization;Mexico;691
01/01/2020;Core Infrastructure;Depreciation;Brazil;14.333
01/01/2020;Core Infrastructure;Depreciation;Canada;10.731
01/01/2020;Core Infrastructure;Depreciation;Mexico;2.148
01/01/2020;Core Infrastructure;Depreciation;New Zealand;5.944
01/01/2020;Core Infrastructure;Employee Performance;USA;30
01/01/2020;Core Infrastructure;External Labor;Brazil;12.109
01/01/2020;Core Infrastructure;External Labor;Canada;15.054
01/01/2020;Core Infrastructure;External Labor;Mexico;5.169
01/01/2020;Core Infrastructure;External Labor;New Zealand;-687
01/01/2020;Core Infrastructure;External Labor;USA;35.183
01/01/2020;Core Infrastructure;Hardware;Brazil;1.192
01/01/2020;Core Infrastructure;Hardware;Mexico;36.859
01/01/2020;Core Infrastructure;Hardware;New Zealand;29.980
01/01/2020;Core Infrastructure;Hardware Maintenance;Brazil;432
01/01/2020;Core Infrastructure;Hardware Maintenance;Mexico;4.253
01/01/2020;Core Infrastructure;Hardware Maintenance;New Zealand;15
01/01/2020;Core Infrastructure;Hardware Maintenance;USA;46
01/01/2020;Core Infrastructure;Internal Labor;Brazil;14.726
01/01/2020;Core Infrastructure;Internal Labor;Mexico;2.093
01/01/2020;Core Infrastructure;Internal Labor;New Zealand;39.087
01/01/2020;Core Infrastructure;Internal Labor;Switzerland;2.677
01/01/2020;Core Infrastructure;Internal Labor;USA;55.695
01/01/2020;Core Infrastructure;Moving;USA;1.862
01/01/2020;Core Infrastructure;Other;Brazil;10.842
01/01/2020;Core Infrastructure;Other;Canada;13
01/01/2020;Core Infrastructure;Other;Mexico;18.436
01/01/2020;Core Infrastructure;Other;New Zealand;20
01/01/2020;Core Infrastructure;Other;USA;388
01/01/2020;Core Infrastructure;Recognition;Brazil;8.225
01/01/2020;Core Infrastructure;Recognition;New Zealand;1.040
01/01/2020;Core Infrastructure;Severance;Brazil;1.393
01/01/2020;Core Infrastructure;Severance;Mexico;1
01/01/2020;Core Infrastructure;Severance;New Zealand;1.437
01/01/2020;Core Infrastructure;Software;New Zealand;3.932
01/01/2020;Core Infrastructure;Software;USA;5
01/01/2020;Core Infrastructure;Supplies;Brazil;4.113
01/01/2020;Core Infrastructure;Supplies;New Zealand;1.667
01/01/2020;Core Infrastructure;Supplies;USA;543
01/01/2020;Core Infrastructure;Taxes;USA;10
01/01/2020;Core Infrastructure;Telecomm;Brazil;1.060
01/01/2020;Core Infrastructure;Telecomm;Canada;1.789
01/01/2020;Core Infrastructure;Telecomm;Mexico;1.800
01/01/2020;Core Infrastructure;Telecomm;New Zealand;-4.548
01/01/2020;Core Infrastructure;Telecomm;Switzerland;28
01/01/2020;Core Infrastructure;Travel;Brazil;-1.307
01/01/2020;Core Infrastructure;Travel;Canada;64
01/01/2020;Core Infrastructure;Travel;New Zealand;2.262
01/01/2020;Core Infrastructure;Travel;USA;7.048
01/01/2020;Core Infrastructure;Vehicles;Mexico;19
01/01/2020;Core Infrastructure;Vehicles;New Zealand;188
01/01/2020;Data Centers;Amortization;USA;1.725
01/01/2020;Data Centers;CAPEX;USA;879
01/01/2020;Data Centers;Depreciation;Ireland;593
01/01/2020;Data Centers;Depreciation;United Kingdom;18.650
01/01/2020;Data Centers;Depreciation;USA;241.925
01/01/2020;Data Centers;Employee Performance;USA;32
01/01/2020;Data Centers;External Labor;Germany;-2.816
01/01/2020;Data Centers;External Labor;Ireland;100.204
01/01/2020;Data Centers;External Labor;United Kingdom;3.683
01/01/2020;Data Centers;External Labor;USA;308.406
01/01/2020;Data Centers;Hardware;USA;40.611
01/01/2020;Data Centers;Hardware Maintenance;United Kingdom;-11.869
01/01/2020;Data Centers;Hardware Maintenance;USA;132.866
01/01/2020;Data Centers;Internal Labor;Austria;3.497
01/01/2020;Data Centers;Internal Labor;Germany;12.312
01/01/2020;Data Centers;Internal Labor;Netherlands;3.242
01/01/2020;Data Centers;Internal Labor;Spain;3.031
01/01/2020;Data Centers;Internal Labor;United Kingdom;9.797
01/01/2020;Data Centers;Internal Labor;USA;138.204
01/01/2020;Data Centers;Other;Germany;19
01/01/2020;Data Centers;Other;Netherlands;5
01/01/2020;Data Centers;Other;Spain;87
01/01/2020;Data Centers;Other;United Kingdom;226
01/01/2020;Data Centers;Other;USA;12
01/01/2020;Data Centers;Project Expenses;United Kingdom;-2.735
01/01/2020;Data Centers;Project Expenses;USA;19.804
01/01/2020;Data Centers;Recognition;Austria;31
01/01/2020;Data Centers;Severance;Austria;34
01/01/2020;Data Centers;Software;United Kingdom;-3.337
01/01/2020;Data Centers;Software;USA;28.343
01/01/2020;Data Centers;Software Maintenance;United Kingdom;4.249
01/01/2020;Data Centers;Software Maintenance;USA;149.664
01/01/2020;Data Centers;Supplies;USA;119
01/01/2020;Data Centers;Taxes;USA;19.219
01/01/2020;Data Centers;Telecomm;Austria;-9
01/01/2020;Data Centers;Telecomm;Spain;39
01/01/2020;Data Centers;Telecomm;United Kingdom;5
01/01/2020;Data Centers;Training;Netherlands;56
01/01/2020;Data Centers;Training;United Kingdom;1.723
01/01/2020;Data Centers;Training;USA;3.980
01/01/2020;Data Centers;Travel;Netherlands;1.265
01/01/2020;Data Centers;Travel;United Kingdom;2.409
01/01/2020;Data Centers;Travel;USA;1.102
01/01/2020;Data Centers;Vehicles;Netherlands;339
01/01/2020;Data Centers;Vehicles;United Kingdom;32
01/01/2020;Data Management;Amortization;Germany;441
01/01/2020;Data Management;Depreciation;Germany;4.597
01/01/2020;Data Management;Hardware;Germany;1.247
01/01/2020;Data Management;Internal Labor;Spain;2.815
01/01/2020;Data Management;Other;Germany;106.627
01/01/2020;Data Management;Supplies;Germany;60
01/01/2020;Data Management;Telecomm;Germany;-15.386
01/01/2020;Data Management;Telecomm;Spain;70
01/01/2020;Data Management;Training;Germany;299
01/01/2020;Data Management;Vehicles;Spain;141
01/01/2020;Development;Amortization;USA;6.087
01/01/2020;Development;Depreciation;USA;-6.087
01/01/2020;Development;Employee Performance;USA;28
01/01/2020;Development;External Labor;Germany;5.330
01/01/2020;Development;External Labor;United Kingdom;690
01/01/2020;Development;External Labor;USA;1.902
01/01/2020;Development;Hardware;USA;48
01/01/2020;Development;Inbound Allocations;United Kingdom;116
01/01/2020;Development;Internal Labor;Germany;10.271
01/01/2020;Development;Internal Labor;Spain;3.548
01/01/2020;Development;Internal Labor;United Kingdom;6.374
01/01/2020;Development;Internal Labor;USA;149.259
01/01/2020;Development;Other;United Kingdom;559
01/01/2020;Development;Other;USA;8
01/01/2020;Development;Outbound Allocations;United Kingdom;1.284
01/01/2020;Development;Software Maintenance;USA;90.637
01/01/2020;Development;Supplies;USA;18
01/01/2020;Development;Taxes;USA;1.222
01/01/2020;Development;Telecomm;Germany;23
01/01/2020;Development;Telecomm;Spain;15
01/01/2020;Development;Telecomm;United Kingdom;143
01/01/2020;Development;Telecomm;USA;54
01/01/2020;Development;Training;USA;759
01/01/2020;Development;Travel;Spain;157
01/01/2020;Development;Travel;United Kingdom;3.476
01/01/2020;Development;Travel;USA;3.747
01/01/2020;Development;Vehicles;United Kingdom;1
01/01/2020;Distribution;Amortization;Italy;5.136
01/01/2020;Distribution;Depreciation;Belgium;16
