Date;IT Department;Cost Element;Country;Actual
01/05/2020;Administration;Employee Performance;USA;14.265
01/05/2020;Administration;External Labor;United Kingdom;4.385
01/05/2020;Administration;External Labor;USA;13.056
01/05/2020;Administration;Hardware;USA;66
01/05/2020;Administration;Internal Labor;Germany;20.399
01/05/2020;Administration;Internal Labor;Italy;5.087
01/05/2020;Administration;Internal Labor;United Kingdom;23.114
01/05/2020;Administration;Internal Labor;USA;126.128
01/05/2020;Administration;Legal;USA;648
01/05/2020;Administration;Moving;USA;18.227
01/05/2020;Administration;Other;USA;669
01/05/2020;Administration;Outbound Allocations;United Kingdom;743
01/05/2020;Administration;Recognition;USA;44
01/05/2020;Administration;Severance;Italy;371
01/05/2020;Administration;Supplies;USA;227
01/05/2020;Administration;Telecomm;Italy;43
01/05/2020;Administration;Training;Germany;533
01/05/2020;Administration;Training;USA;525
01/05/2020;Administration;Travel;USA;13.643
01/05/2020;Architecture;Depreciation;USA;693
01/05/2020;Architecture;Hardware;USA;500
01/05/2020;Architecture;Internal Labor;USA;39.924
01/05/2020;Architecture;Moving;USA;62
01/05/2020;Architecture;Other;USA;-1.583
01/05/2020;Architecture;Taxes;USA;44
01/05/2020;Architecture;Training;USA;420
01/05/2020;Architecture;Travel;USA;2.399
01/05/2020;Business Intelligence;Employee Performance;USA;38
01/05/2020;Business Intelligence;External Labor;USA;29.540
01/05/2020;Business Intelligence;Hardware;USA;111
01/05/2020;Business Intelligence;Internal Labor;USA;61.849
01/05/2020;Business Intelligence;Supplies;USA;107
01/05/2020;Business Intelligence;Travel;USA;134
01/05/2020;Core;External Labor;USA;4.573
01/05/2020;Core;Hardware;USA;176
01/05/2020;Core;Internal Labor;USA;19.502
01/05/2020;Core;Other;USA;39
01/05/2020;Core;Travel;USA;625
01/05/2020;Core Infrastructure;Amortization;Mexico;1.393
01/05/2020;Core Infrastructure;Depreciation;Brazil;17.711
01/05/2020;Core Infrastructure;Depreciation;Canada;5.033
01/05/2020;Core Infrastructure;Depreciation;Mexico;4.399
01/05/2020;Core Infrastructure;Depreciation;New Zealand;7.577
01/05/2020;Core Infrastructure;External Labor;Brazil;19.994
01/05/2020;Core Infrastructure;External Labor;Canada;21.036
01/05/2020;Core Infrastructure;External Labor;Mexico;35.493
01/05/2020;Core Infrastructure;External Labor;New Zealand;260
01/05/2020;Core Infrastructure;External Labor;USA;172.999
01/05/2020;Core Infrastructure;Hardware;Brazil;1.253
01/05/2020;Core Infrastructure;Hardware;Mexico;19.986
01/05/2020;Core Infrastructure;Hardware;New Zealand;30.977
01/05/2020;Core Infrastructure;Hardware;USA;5.484
01/05/2020;Core Infrastructure;Hardware Maintenance;Brazil;1.394
01/05/2020;Core Infrastructure;Hardware Maintenance;Mexico;9.776
01/05/2020;Core Infrastructure;Internal Labor;Brazil;3.726
01/05/2020;Core Infrastructure;Internal Labor;Canada;195
01/05/2020;Core Infrastructure;Internal Labor;Mexico;3.082
01/05/2020;Core Infrastructure;Internal Labor;New Zealand;37.143
01/05/2020;Core Infrastructure;Internal Labor;Switzerland;3.063
01/05/2020;Core Infrastructure;Internal Labor;USA;44.505
01/05/2020;Core Infrastructure;Moving;USA;2.406
01/05/2020;Core Infrastructure;Other;Brazil;12.407
01/05/2020;Core Infrastructure;Other;Mexico;26.839
01/05/2020;Core Infrastructure;Other;New Zealand;252
01/05/2020;Core Infrastructure;Other;USA;2.356
01/05/2020;Core Infrastructure;Severance;Brazil;713
01/05/2020;Core Infrastructure;Severance;New Zealand;411
01/05/2020;Core Infrastructure;Supplies;Brazil;40
01/05/2020;Core Infrastructure;Supplies;Canada;2.080
01/05/2020;Core Infrastructure;Supplies;New Zealand;2.857
01/05/2020;Core Infrastructure;Supplies;USA;677
01/05/2020;Core Infrastructure;Taxes;Brazil;250
01/05/2020;Core Infrastructure;Taxes;USA;9
01/05/2020;Core Infrastructure;Telecomm;Brazil;2.831
01/05/2020;Core Infrastructure;Telecomm;Canada;1.834
01/05/2020;Core Infrastructure;Telecomm;Mexico;1.809
01/05/2020;Core Infrastructure;Telecomm;New Zealand;19.696
01/05/2020;Core Infrastructure;Telecomm;Switzerland;38
01/05/2020;Core Infrastructure;Training;USA;30
01/05/2020;Core Infrastructure;Travel;Brazil;1.148
01/05/2020;Core Infrastructure;Travel;New Zealand;-297
01/05/2020;Core Infrastructure;Travel;Switzerland;874
01/05/2020;Core Infrastructure;Travel;USA;363
01/05/2020;Core Infrastructure;Vehicles;Mexico;8
01/05/2020;Core Infrastructure;Vehicles;New Zealand;70
01/05/2020;Core Infrastructure;Vehicles;Switzerland;120
01/05/2020;Data Centers;Amortization;USA;1.725
01/05/2020;Data Centers;Depreciation;Ireland;661
01/05/2020;Data Centers;Depreciation;United Kingdom;19.656
01/05/2020;Data Centers;Depreciation;USA;253.906
01/05/2020;Data Centers;Employee Performance;USA;316
01/05/2020;Data Centers;External Labor;Germany;3.601
01/05/2020;Data Centers;External Labor;United Kingdom;89.374
01/05/2020;Data Centers;External Labor;USA;332.345
01/05/2020;Data Centers;Hardware;United Kingdom;177.625
01/05/2020;Data Centers;Hardware;USA;17.375
01/05/2020;Data Centers;Hardware Maintenance;United Kingdom;-8.181
01/05/2020;Data Centers;Hardware Maintenance;USA;88.891
01/05/2020;Data Centers;Internal Labor;Austria;4.047
01/05/2020;Data Centers;Internal Labor;Germany;11.709
01/05/2020;Data Centers;Internal Labor;Netherlands;3.851
01/05/2020;Data Centers;Internal Labor;Spain;3.509
01/05/2020;Data Centers;Internal Labor;United Kingdom;10.905
01/05/2020;Data Centers;Internal Labor;USA;127.910
01/05/2020;Data Centers;Other;Austria;36
01/05/2020;Data Centers;Other;Netherlands;6
01/05/2020;Data Centers;Other;United Kingdom;351
01/05/2020;Data Centers;Other;USA;90
01/05/2020;Data Centers;Project Expenses;United Kingdom;13.715
01/05/2020;Data Centers;Recognition;Austria;45
01/05/2020;Data Centers;Severance;Austria;39
01/05/2020;Data Centers;Software;USA;24.389
01/05/2020;Data Centers;Software Maintenance;United Kingdom;-5.002
01/05/2020;Data Centers;Software Maintenance;USA;-2.877
01/05/2020;Data Centers;Taxes;USA;17.338
01/05/2020;Data Centers;Telecomm;Austria;12
01/05/2020;Data Centers;Training;USA;4.043
01/05/2020;Data Centers;Travel;Netherlands;-20
01/05/2020;Data Centers;Travel;Spain;317
01/05/2020;Data Centers;Travel;United Kingdom;2.155
01/05/2020;Data Centers;Travel;USA;1.530
01/05/2020;Data Centers;Vehicles;Netherlands;418
01/05/2020;Data Centers;Vehicles;United Kingdom;1
01/05/2020;Data Management;Depreciation;Germany;4.713
01/05/2020;Data Management;Internal Labor;Germany;2.988
01/05/2020;Data Management;Internal Labor;Spain;3.190
01/05/2020;Data Management;Telecomm;Germany;6.810
01/05/2020;Data Management;Training;Spain;24
01/05/2020;Data Management;Vehicles;Spain;158
01/05/2020;Development;Employee Performance;USA;1.561
01/05/2020;Development;External Labor;United Kingdom;1.677
01/05/2020;Development;External Labor;USA;55.847
01/05/2020;Development;Hardware;USA;147
01/05/2020;Development;Inbound Allocations;United Kingdom;113
01/05/2020;Development;Internal Labor;Belgium;7.190
01/05/2020;Development;Internal Labor;Germany;1.453
01/05/2020;Development;Internal Labor;Spain;6.997
01/05/2020;Development;Internal Labor;United Kingdom;7.434
01/05/2020;Development;Internal Labor;USA;147.515
01/05/2020;Development;Other;Belgium;32
01/05/2020;Development;Other;United Kingdom;105
01/05/2020;Development;Other;USA;193
01/05/2020;Development;Outbound Allocations;United Kingdom;1.107
01/05/2020;Development;Software;USA;20.934
01/05/2020;Development;Supplies;USA;913
01/05/2020;Development;Taxes;USA;1.120
01/05/2020;Development;Telecomm;Belgium;219
01/05/2020;Development;Telecomm;Germany;17
01/05/2020;Development;Telecomm;United Kingdom;-9
01/05/2020;Development;Telecomm;USA;36
01/05/2020;Development;Training;Belgium;637
01/05/2020;Development;Training;United Kingdom;5
01/05/2020;Development;Training;USA;449
01/05/2020;Development;Travel;Belgium;1.298
01/05/2020;Development;Travel;Spain;89
01/05/2020;Development;Travel;United Kingdom;1.010
01/05/2020;Development;Travel;USA;3.706
01/05/2020;Development;Vehicles;Belgium;558
01/05/2020;Development;Vehicles;United Kingdom;1
01/05/2020;Distribution;Amortization;Italy;5.684
01/05/2020;Distribution;Depreciation;Belgium;18
01/05/2020;Distribution;Depreciation;Italy;301
01/05/2020;Distribution;Depreciation;Switzerland;448
01/05/2020;Distribution;Depreciation;United Kingdom;28
01/05/2020;Distribution;Employee Performance;USA;8
01/05/2020;Distribution;External Labor;France;18.574
01/05/2020;Distribution;External Labor;United Kingdom;8.845
01/05/2020;Distribution;External Labor;USA;84.327
01/05/2020;Distribution;Hardware;Canada;58
01/05/2020;Distribution;Hardware;USA;32
01/05/2020;Distribution;Internal Labor;Belgium;11.716
01/05/2020;Distribution;Internal Labor;Canada;6.548
01/05/2020;Distribution;Internal Labor;France;20.228
01/05/2020;Distribution;Internal Labor;Germany;30.417
01/05/2020;Distribution;Internal Labor;Italy;8.790
01/05/2020;Distribution;Internal Labor;Spain;5.774
01/05/2020;Distribution;Internal Labor;Switzerland;8.979
01/05/2020;Distribution;Internal Labor;United Kingdom;8.403
01/05/2020;Distribution;Internal Labor;USA;75.295
01/05/2020;Distribution;Moving;France;2.486
01/05/2020;Distribution;Moving;Spain;12
01/05/2020;Distribution;Other;Belgium;71
01/05/2020;Distribution;Other;Germany;1.953
01/05/2020;Distribution;Other;Italy;314
01/05/2020;Distribution;Outbound Allocations;United Kingdom;743
01/05/2020;Distribution;Severance;Italy;529
01/05/2020;Distribution;Supplies;Belgium;23
01/05/2020;Distribution;Telecomm;Belgium;64
01/05/2020;Distribution;Telecomm;Canada;44
01/05/2020;Distribution;Telecomm;Italy;130
01/05/2020;Distribution;Telecomm;Switzerland;360
01/05/2020;Distribution;Training;Germany;549
01/05/2020;Distribution;Training;Spain;188
01/05/2020;Distribution;Training;USA;744
01/05/2020;Distribution;Travel;Belgium;554
01/05/2020;Distribution;Travel;Canada;64
01/05/2020;Distribution;Travel;France;83
01/05/2020;Distribution;Travel;Germany;1.146
01/05/2020;Distribution;Travel;Italy;719
01/05/2020;Distribution;Travel;Spain;76
01/05/2020;Distribution;Travel;Switzerland;577
01/05/2020;Distribution;Travel;United Kingdom;38
01/05/2020;Distribution;Travel;USA;1.563
01/05/2020;Distribution;Vehicles;Belgium;876
01/05/2020;Distribution;Vehicles;United Kingdom;776
01/05/2020;Document Management;Depreciation;USA;261
01/05/2020;Document Management;Employee Performance;USA;75
01/05/2020;Document Management;External Labor;USA;156.931
01/05/2020;Document Management;Hardware;USA;192
01/05/2020;Document Management;Internal Labor;USA;125.009
01/05/2020;Document Management;Other;USA;299
01/05/2020;Document Management;Project Expenses;USA;3.758
01/05/2020;Document Management;Recognition;USA;15
01/05/2020;Document Management;Software;USA;117
01/05/2020;Document Management;Software Maintenance;USA;67.530
01/05/2020;Document Management;Supplies;USA;42
01/05/2020;Document Management;Taxes;USA;154
01/05/2020;Document Management;Training;USA;642
01/05/2020;Document Management;Travel;USA;1.295
01/05/2020;EIM;Amortization;Italy;175
01/05/2020;EIM;Depreciation;Italy;1.735
01/05/2020;EIM;Employee Performance;USA;919
01/05/2020;EIM;External Labor;USA;128.614
01/05/2020;EIM;Hardware;USA;271
01/05/2020;EIM;Hardware Maintenance;Italy;1.678
01/05/2020;EIM;Internal Labor;Italy;4.102
01/05/2020;EIM;Internal Labor;USA;103.594
01/05/2020;EIM;Other;Italy;4
01/05/2020;EIM;Severance;Italy;206
01/05/2020;EIM;Software;USA;56.055
01/05/2020;EIM;Software Maintenance;USA;12.336
01/05/2020;EIM;Training;USA;645
01/05/2020;EIM;Travel;USA;424
01/05/2020;Emerging;Depreciation;Brazil;2.852
01/05/2020;Emerging;Depreciation;Mexico;476
01/05/2020;Emerging;Depreciation;USA;63
01/05/2020;Emerging;Employee Performance;USA;34
01/05/2020;Emerging;External Labor;Brazil;8.847
01/05/2020;Emerging;External Labor;Mexico;1.713
01/05/2020;Emerging;External Labor;USA;8.693
01/05/2020;Emerging;Hardware Maintenance;Brazil;929
01/05/2020;Emerging;Internal Labor;Brazil;4.394
01/05/2020;Emerging;Internal Labor;Mexico;18.677
01/05/2020;Emerging;Internal Labor;USA;8.982
01/05/2020;Emerging;Moving;Brazil;328
01/05/2020;Emerging;Other;Brazil;3.628
